match_index,agent_id,team_name,paradigm,kills,shots_hit,shots_missed,survival_time,alive_at_end
10,1-1,Equipe 1,CTDE-VD,0,0,2,5.399999999999997,0
10,1-2,Equipe 1,CTDE-VD,0,0,6,3.5000000000000018,0
10,1-3,Equipe 1,CTDE-VD,0,0,3,6.5999999999999925,0
10,2-1,Equipe 2,CTDE-CAC,1,1,3,3.2000000000000015,0
10,2-2,Equipe 2,CTDE-CAC,3,3,6,69.9000000000003,1
10,2-3,Equipe 2,CTDE-CAC,1,1,8,6.799999999999992,0
10,3-1,Equipe 3,CTDE-Comm,2,2,8,69.9000000000003,1
10,3-2,Equipe 3,CTDE-Comm,0,0,3,2.3000000000000007,0
10,3-3,Equipe 3,CTDE-Comm,0,0,10,6.399999999999993,0
10,1-1,Equipe 1,CTDE-VD,2,2,7,12.299999999999972,1
10,1-2,Equipe 1,CTDE-VD,0,0,4,5.599999999999996,0
10,1-3,Equipe 1,CTDE-VD,0,0,1,12.299999999999972,1
10,2-1,Equipe 2,CTDE-CAC,2,2,4,5.299999999999997,0
10,2-2,Equipe 2,CTDE-CAC,1,1,3,3.0000000000000013,0
10,2-3,Equipe 2,CTDE-CAC,1,1,14,12.299999999999972,0
10,3-1,Equipe 3,CTDE-Comm,0,0,1,0.7999999999999999,0
10,3-2,Equipe 3,CTDE-Comm,0,0,6,4.100000000000001,0
10,3-3,Equipe 3,CTDE-Comm,1,1,12,9.799999999999981,0
20,1-1,Equipe 1,CTDE-VD,1,1,8,11.499999999999975,1
20,1-2,Equipe 1,CTDE-VD,0,0,2,1.0999999999999999,0
20,1-3,Equipe 1,CTDE-VD,3,3,6,11.499999999999975,1
20,2-1,Equipe 2,CTDE-CAC,1,1,8,5.999999999999995,0
20,2-2,Equipe 2,CTDE-CAC,1,1,2,11.499999999999975,0
20,2-3,Equipe 2,CTDE-CAC,0,0,4,11.399999999999975,0
20,3-1,Equipe 3,CTDE-Comm,0,0,1,0.30000000000000004,0
20,3-2,Equipe 3,CTDE-Comm,0,0,2,1.3,0
20,3-3,Equipe 3,CTDE-Comm,1,1,2,1.8000000000000005,0
30,1-1,Equipe 1,CTDE-VD,1,1,6,6.799999999999992,0
30,1-2,Equipe 1,CTDE-VD,0,0,5,4.799999999999999,0
30,1-3,Equipe 1,CTDE-VD,0,0,4,2.2000000000000006,0
30,2-1,Equipe 2,CTDE-CAC,1,1,2,6.799999999999992,1
