match_index,variant_id,team_name,paradigm,winner,eliminations,mean_survival_time,shots_hit,shots_missed,shot_accuracy,remaining_agents,match_duration_seconds
10,10,Equipe 1,CTDE-VD,0,0,5.166666666666663,0,11,0.0,0,69.9000000000003
10,10,Equipe 2,CTDE-CAC,1,5,26.633333333333436,5,17,0.22727272727272727,1,69.9000000000003
10,10,Equipe 3,CTDE-Comm,0,2,26.2000000000001,2,21,0.08695652173913043,1,69.9000000000003
10,10,Equipe 1,CTDE-VD,1,2,10.066666666666647,2,12,0.14285714285714285,2,12.299999999999972
10,10,Equipe 2,CTDE-CAC,0,4,6.866666666666657,4,21,0.16,0,12.299999999999972
10,10,Equipe 3,CTDE-Comm,0,1,4.899999999999994,1,19,0.05,0,12.299999999999972
20,20,Equipe 1,CTDE-VD,1,4,8.033333333333317,4,16,0.2,2,11.499999999999975
20,20,Equipe 2,CTDE-CAC,0,2,9.633333333333317,2,14,0.125,0,11.499999999999975
20,20,Equipe 3,CTDE-Comm,0,1,1.1333333333333335,1,5,0.16666666666666666,0,11.499999999999975
30,30,Equipe 1,CTDE-VD,0,1,4.599999999999997,1,15,0.0625,0,6.799999999999992
30,30,Equipe 2,CTDE-CAC,1,5,5.2999999999999945,5,8,0.38461538461538464,2,6.799999999999992
30,30,Equipe 3,CTDE-Comm,0,1,1.0000000000000002,1,5,0.16666666666666666,0,6.799999999999992
40,40,Equipe 1,CTDE-VD,1,5,4.466666666666657,5,18,0.21739130434782608,1,12.79999999999997
40,40,Equipe 2,CTDE-CAC,0,0,7.066666666666652,0,29,0.0,0,12.79999999999997
40,40,Equipe 3,CTDE-Comm,0,3,0.8666666666666668,3,4,0.42857142857142855,0,12.79999999999997
50,50,Equipe 1,CTDE-VD,1,2,4.699999999999999,2,12,0.14285714285714285,2,4.799999999999999
50,50,Equipe 2,CTDE-CAC,0,2,1.1000000000000003,2,5,0.2857142857142857,0,4.799999999999999
50,50,Equipe 3,CTDE-Comm,0,3,1.7666666666666664,3,7,0.3,0,4.799999999999999
60,60,Equipe 1,CTDE-VD,0,3,27.000000000000185,3,37,0.075,0,60.40000000000059
60,60,Equipe 2,CTDE-CAC,1,2,43.76666666666705,2,50,0.038461538461538464,2,60.40000000000059
60,60,Equipe 3,CTDE-Comm,0,2,9.233333333333315,2,37,0.05128205128205128,0,60.40000000000059
70,70,Equipe 1,CTDE-VD,0,1,9.666666666666648,1,20,0.047619047619047616,0,44.30000000000036
70,70,Equipe 2,CTDE-CAC,0,4,19.433333333333447,4,19,0.17391304347826086,0,44.30000000000036
70,70,Equipe 3,CTDE-Comm,1,2,32.033333333333566,2,16,0.1111111111111111,2,44.30000000000036
80,80,Equipe 1,CTDE-VD,1,6,2.6333333333333346,6,7,0.46153846153846156,2,3.600000000000002
80,80,Equipe 2,CTDE-CAC,0,0,1.833333333333334,0,6,0.0,0,3.600000000000002
80,80,Equipe 3,CTDE-Comm,0,1,1.2333333333333338,1,6,0.14285714285714285,0,3.600000000000002
90,90,Equipe 1,CTDE-VD,1,3,1.0999999999999999,3,3,0.5,3,1.0999999999999999
90,90,Equipe 2,CTDE-CAC,0,2,0.3,2,0,1.0,0,1.0999999999999999
90,90,Equipe 3,CTDE-Comm,0,1,0.4666666666666666,1,2,0.3333333333333333,0,1.0999999999999999
100,100,Equipe 1,CTDE-VD,0,0,1.3000000000000007,0,9,0.0,0,3.4000000000000017
100,100,Equipe 2,CTDE-CAC,1,4,3.4000000000000017,4,13,0.23529411764705882,3,3.4000000000000017
100,100,Equipe 3,CTDE-Comm,0,2,0.5,2,2,0.5,0,3.4000000000000017
110,110,Equipe 1,CTDE-VD,1,6,2.5000000000000013,6,9,0.4,2,3.600000000000002
110,110,Equipe 2,CTDE-CAC,0,1,0.3,1,2,0.3333333333333333,0,3.600000000000002
110,110,Equipe 3,CTDE-Comm,0,0,2.433333333333334,0,11,0.0,0,3.600000000000002
120,120,Equipe 1,CTDE-VD,1,4,9.43333333333336,4,16,0.2,1,24.500000000000078
120,120,Equipe 2,CTDE-CAC,0,2,9.566666666666693,2,19,0.09523809523809523,0,24.500000000000078
120,120,Equipe 3,CTDE-Comm,0,2,0.9000000000000002,2,2,0.5,0,24.500000000000078
130,130,Equipe 1,CTDE-VD,1,2,9.033333333333317,2,14,0.125,2,11.699999999999974
130,130,Equipe 2,CTDE-CAC,0,3,1.6666666666666672,3,8,0.2727272727272727,0,11.699999999999974
130,130,Equipe 3,CTDE-Comm,0,2,4.333333333333325,2,7,0.2222222222222222,0,11.699999999999974
140,140,Equipe 1,CTDE-VD,0,4,10.699999999999983,4,40,0.09090909090909091,0,17.899999999999984
140,140,Equipe 2,CTDE-CAC,1,3,17.899999999999984,3,94,0.030927835051546393,2,17.899999999999984
140,140,Equipe 3,CTDE-Comm,0,0,0.3666666666666667,0,3,0.0,0,17.899999999999984
150,150,Equipe 1,CTDE-VD,1,4,7.3999999999999915,4,1,0.8,1,17.099999999999973
150,150,Equipe 2,CTDE-CAC,0,4,2.666666666666668,4,6,0.4,0,17.099999999999973
150,150,Equipe 3,CTDE-Comm,0,0,7.566666666666658,0,10,0.0,0,17.099999999999973
160,160,Equipe 1,CTDE-VD,0,2,1.733333333333334,2,5,0.2857142857142857,0,3.1000000000000014
160,160,Equipe 2,CTDE-CAC,1,3,1.566666666666667,3,7,0.3,1,3.1000000000000014
160,160,Equipe 3,CTDE-Comm,0,3,0.8333333333333334,3,3,0.5,0,3.1000000000000014
170,170,Equipe 1,CTDE-VD,0,1,6.266666666666661,1,4,0.2,0,7.29999999999999
170,170,Equipe 2,CTDE-CAC,1,5,4.9333333333333265,5,2,0.7142857142857143,2,7.29999999999999
170,170,Equipe 3,CTDE-Comm,0,1,0.4000000000000001,1,2,0.3333333333333333,0,7.29999999999999
180,180,Equipe 1,CTDE-VD,0,1,4.133333333333334,1,30,0.03225806451612903,0,90.9999999999991
180,180,Equipe 2,CTDE-CAC,1,1,90.9999999999991,1,18,0.05263157894736842,3,90.9999999999991
180,180,Equipe 3,CTDE-Comm,0,2,61.36666666666607,2,26,0.07142857142857142,2,90.9999999999991
190,190,Equipe 1,CTDE-VD,0,3,0.5666666666666667,3,2,0.6,0,0.8999999999999999
190,190,Equipe 2,CTDE-CAC,1,1,0.8999999999999999,1,0,1.0,3,0.8999999999999999
190,190,Equipe 3,CTDE-Comm,0,2,0.4666666666666666,2,2,0.5,0,0.8999999999999999
200,200,Equipe 1,CTDE-VD,0,0,0.8666666666666667,0,4,0.0,0,1.4000000000000001
200,200,Equipe 2,CTDE-CAC,1,4,1.4000000000000001,4,3,0.5714285714285714,3,1.4000000000000001
200,200,Equipe 3,CTDE-Comm,0,2,0.5,2,1,0.6666666666666666,0,1.4000000000000001
210,210,Equipe 1,CTDE-VD,0,2,55.59999999999937,2,16,0.1111111111111111,1,115.5999999999977
210,210,Equipe 2,CTDE-CAC,1,2,42.466666666665894,2,53,0.03636363636363636,1,115.5999999999977
210,210,Equipe 3,CTDE-Comm,0,3,12.066666666666682,3,24,0.1111111111111111,0,115.5999999999977
220,220,Equipe 1,CTDE-VD,1,2,1.3,2,2,0.5,3,1.3
220,220,Equipe 2,CTDE-CAC,0,3,0.8000000000000002,3,3,0.5,0,1.3
220,220,Equipe 3,CTDE-Comm,0,1,0.6666666666666666,1,3,0.25,0,1.3
230,230,Equipe 1,CTDE-VD,1,4,0.8000000000000002,4,2,0.6666666666666666,1,2.0000000000000004
230,230,Equipe 2,CTDE-CAC,0,2,1.5,2,6,0.25,0,2.0000000000000004
230,230,Equipe 3,CTDE-Comm,0,2,0.20000000000000004,2,1,0.6666666666666666,0,2.0000000000000004
240,240,Equipe 1,CTDE-VD,0,0,3.9666666666666663,0,21,0.0,0,5.399999999999997
240,240,Equipe 2,CTDE-CAC,1,6,5.399999999999996,6,23,0.20689655172413793,3,5.399999999999997
240,240,Equipe 3,CTDE-Comm,0,0,4.5,0,27,0.0,0,5.399999999999997
250,250,Equipe 1,CTDE-VD,0,1,1.566666666666667,1,9,0.1,0,4.000000000000002
250,250,Equipe 2,CTDE-CAC,1,3,3.0333333333333345,3,15,0.16666666666666666,2,4.000000000000002
250,250,Equipe 3,CTDE-Comm,0,3,1.7333333333333336,3,11,0.21428571428571427,0,4.000000000000002
260,260,Equipe 1,CTDE-VD,0,0,5.933333333333327,0,19,0.0,0,7.899999999999988
260,260,Equipe 2,CTDE-CAC,0,1,1.6333333333333337,1,10,0.09090909090909091,0,7.899999999999988
260,260,Equipe 3,CTDE-Comm,1,6,5.366666666666659,6,19,0.24,2,7.899999999999988
270,270,Equipe 1,CTDE-VD,0,1,1.9666666666666675,1,11,0.08333333333333333,0,4.799999999999999
270,270,Equipe 2,CTDE-CAC,1,2,4.633333333333333,2,25,0.07407407407407407,1,4.799999999999999
270,270,Equipe 3,CTDE-Comm,0,5,3.133333333333334,5,15,0.25,0,4.799999999999999
280,280,Equipe 1,CTDE-VD,1,3,4.9666666666666615,3,13,0.1875,2,6.699999999999992
280,280,Equipe 2,CTDE-CAC,0,1,0.5333333333333333,1,3,0.25,0,6.699999999999992
280,280,Equipe 3,CTDE-Comm,0,3,2.999999999999998,3,13,0.1875,0,6.699999999999992
290,290,Equipe 1,CTDE-VD,0,3,5.766666666666662,3,21,0.125,0,9.299999999999983
290,290,Equipe 2,CTDE-CAC,1,2,8.399999999999986,2,29,0.06451612903225806,2,9.299999999999983
290,290,Equipe 3,CTDE-Comm,0,2,4.033333333333332,2,19,0.09523809523809523,0,9.299999999999983
300,300,Equipe 1,CTDE-VD,1,1,14.033333333333298,1,25,0.038461538461538464,1,14.299999999999965
300,300,Equipe 2,CTDE-CAC,0,5,5.333333333333322,5,9,0.35714285714285715,0,14.299999999999965
300,300,Equipe 3,CTDE-Comm,0,2,0.6333333333333334,2,3,0.4,0,14.299999999999965
310,310,Equipe 1,CTDE-VD,0,5,20.033333333333434,5,96,0.04950495049504951,0,42.600000000000335
310,310,Equipe 2,CTDE-CAC,1,0,14.433333333333444,0,40,0.0,1,42.600000000000335
310,310,Equipe 3,CTDE-Comm,0,3,18.466666666666775,3,90,0.03225806451612903,0,42.600000000000335
320,320,Equipe 1,CTDE-VD,1,3,1.0333333333333332,3,5,0.375,2,1.0999999999999999
320,320,Equipe 2,CTDE-CAC,0,3,0.6666666666666666,3,2,0.6,0,1.0999999999999999
320,320,Equipe 3,CTDE-Comm,0,1,0.3,1,3,0.25,0,1.0999999999999999
330,330,Equipe 1,CTDE-VD,1,5,15.766666666666685,5,22,0.18518518518518517,1,21.90000000000004
330,330,Equipe 2,CTDE-CAC,0,3,13.400000000000006,3,22,0.12,0,21.90000000000004
330,330,Equipe 3,CTDE-Comm,0,0,3.633333333333333,0,18,0.0,0,21.90000000000004
340,340,Equipe 1,CTDE-VD,1,4,5.4999999999999964,4,9,0.3076923076923077,3,5.4999999999999964
340,340,Equipe 2,CTDE-CAC,0,1,1.7666666666666675,1,11,0.08333333333333333,0,5.4999999999999964
340,340,Equipe 3,CTDE-Comm,0,1,2.1666666666666656,1,11,0.08333333333333333,0,5.4999999999999964
350,350,Equipe 1,CTDE-VD,0,2,3.4999999999999982,2,12,0.14285714285714285,0,6.299999999999994
350,350,Equipe 2,CTDE-CAC,0,3,1.7666666666666675,3,7,0.3,0,6.299999999999994
350,350,Equipe 3,CTDE-Comm,1,3,3.366666666666665,3,12,0.2,1,6.299999999999994
360,360,Equipe 1,CTDE-VD,0,4,4.633333333333327,4,7,0.36363636363636365,0,10.399999999999979
360,360,Equipe 2,CTDE-CAC,0,1,3.799999999999997,1,11,0.08333333333333333,0,10.399999999999979
360,360,Equipe 3,CTDE-Comm,1,2,9.133333333333317,2,14,0.125,2,10.399999999999979
370,370,Equipe 1,CTDE-VD,0,1,0.23333333333333336,1,2,0.3333333333333333,0,1.5000000000000002
370,370,Equipe 2,CTDE-CAC,1,4,1.5000000000000002,4,5,0.4444444444444444,3,1.5000000000000002
370,370,Equipe 3,CTDE-Comm,0,1,0.8333333333333334,1,5,0.16666666666666666,0,1.5000000000000002
380,380,Equipe 1,CTDE-VD,0,3,5.333333333333326,3,23,0.11538461538461539,0,17.999999999999986
380,380,Equipe 2,CTDE-CAC,0,3,11.599999999999985,3,41,0.06818181818181818,0,17.999999999999986
380,380,Equipe 3,CTDE-Comm,1,2,12.133333333333324,2,20,0.09090909090909091,1,17.999999999999986
390,390,Equipe 1,CTDE-VD,0,6,6.733333333333331,6,3,0.6666666666666666,0,18.499999999999993
390,390,Equipe 2,CTDE-CAC,1,2,14.233333333333325,2,2,0.5,0,18.499999999999993
390,390,Equipe 3,CTDE-Comm,0,1,0.6999999999999998,1,4,0.2,0,18.499999999999993
400,400,Equipe 1,CTDE-VD,0,0,11.933333333333307,0,37,0.0,0,85.29999999999943
