match_index,time_seconds,team_name,paradigm,alive_agents,cumulative_eliminations,cumulative_accuracy,cumulative_win_rate,obstacle_count
10,0.1,Equipe 1,CTDE-VD,3,21,0.09722222222222222,0.2222222222222222,8
10,0.1,Equipe 2,CTDE-CAC,3,23,0.09349593495934959,0.4444444444444444,8
10,0.1,Equipe 3,CTDE-Comm,3,24,0.13559322033898305,0.3333333333333333,8
10,0.2,Equipe 1,CTDE-VD,3,21,0.0967741935483871,0.2222222222222222,8
10,0.2,Equipe 2,CTDE-CAC,3,23,0.0931174089068826,0.4444444444444444,8
10,0.2,Equipe 3,CTDE-Comm,3,24,0.1348314606741573,0.3333333333333333,8
10,0.3,Equipe 1,CTDE-VD,3,21,0.0967741935483871,0.2222222222222222,8
10,0.3,Equipe 2,CTDE-CAC,3,23,0.09274193548387097,0.4444444444444444,8
10,0.3,Equipe 3,CTDE-Comm,3,24,0.1348314606741573,0.3333333333333333,8
10,0.4,Equipe 1,CTDE-VD,3,21,0.0967741935483871,0.2222222222222222,8
10,0.4,Equipe 2,CTDE-CAC,3,23,0.09274193548387097,0.4444444444444444,8
10,0.4,Equipe 3,CTDE-Comm,3,24,0.1340782122905028,0.3333333333333333,8
10,0.5,Equipe 1,CTDE-VD,3,21,0.0967741935483871,0.2222222222222222,8
10,0.5,Equipe 2,CTDE-CAC,3,23,0.09274193548387097,0.4444444444444444,8
10,0.5,Equipe 3,CTDE-Comm,3,24,0.1340782122905028,0.3333333333333333,8
10,0.6,Equipe 1,CTDE-VD,3,21,0.0967741935483871,0.2222222222222222,8
10,0.6,Equipe 2,CTDE-CAC,3,23,0.09274193548387097,0.4444444444444444,8
10,0.6,Equipe 3,CTDE-Comm,3,24,0.13333333333333333,0.3333333333333333,8
10,0.7,Equipe 1,CTDE-VD,3,21,0.0967741935483871,0.2222222222222222,8
10,0.7,Equipe 2,CTDE-CAC,3,23,0.09274193548387097,0.4444444444444444,8
10,0.7,Equipe 3,CTDE-Comm,3,24,0.13333333333333333,0.3333333333333333,8
10,0.8,Equipe 1,CTDE-VD,3,21,0.0967741935483871,0.2222222222222222,8
10,0.8,Equipe 2,CTDE-CAC,3,23,0.09236947791164658,0.4444444444444444,8
10,0.8,Equipe 3,CTDE-Comm,3,24,0.13259668508287292,0.3333333333333333,8
10,0.9,Equipe 1,CTDE-VD,3,21,0.0963302752293578,0.2222222222222222,8
10,0.9,Equipe 2,CTDE-CAC,3,23,0.09236947791164658,0.4444444444444444,8
10,0.9,Equipe 3,CTDE-Comm,3,24,0.13259668508287292,0.3333333333333333,8
10,1.0,Equipe 1,CTDE-VD,3,21,0.0963302752293578,0.2222222222222222,8
10,1.0,Equipe 2,CTDE-CAC,3,23,0.09236947791164658,0.4444444444444444,8
10,1.0,Equipe 3,CTDE-Comm,3,24,0.13259668508287292,0.3333333333333333,8
10,1.1,Equipe 1,CTDE-VD,3,21,0.0963302752293578,0.2222222222222222,8
10,1.1,Equipe 2,CTDE-CAC,3,23,0.092,0.4444444444444444,8
10,1.1,Equipe 3,CTDE-Comm,3,24,0.13186813186813187,0.3333333333333333,8
10,1.2,Equipe 1,CTDE-VD,3,21,0.0963302752293578,0.2222222222222222,8
10,1.2,Equipe 2,CTDE-CAC,3,23,0.092,0.4444444444444444,8
10,1.2,Equipe 3,CTDE-Comm,3,24,0.13186813186813187,0.3333333333333333,8
10,1.3,Equipe 1,CTDE-VD,3,21,0.0963302752293578,0.2222222222222222,8
10,1.3,Equipe 2,CTDE-CAC,3,23,0.092,0.4444444444444444,8
10,1.3,Equipe 3,CTDE-Comm,3,24,0.13186813186813187,0.3333333333333333,8
10,1.4,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,1.4,Equipe 2,CTDE-CAC,3,23,0.09163346613545817,0.4444444444444444,8
10,1.4,Equipe 3,CTDE-Comm,3,24,0.13043478260869565,0.3333333333333333,8
10,1.5,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,1.5,Equipe 2,CTDE-CAC,3,23,0.09163346613545817,0.4444444444444444,8
10,1.5,Equipe 3,CTDE-Comm,3,24,0.13043478260869565,0.3333333333333333,8
10,1.6,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,1.6,Equipe 2,CTDE-CAC,3,23,0.09163346613545817,0.4444444444444444,8
10,1.6,Equipe 3,CTDE-Comm,3,24,0.13043478260869565,0.3333333333333333,8
10,1.7,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,1.7,Equipe 2,CTDE-CAC,3,23,0.09126984126984126,0.4444444444444444,8
10,1.7,Equipe 3,CTDE-Comm,3,24,0.13043478260869565,0.3333333333333333,8
10,1.8,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,1.8,Equipe 2,CTDE-CAC,3,23,0.09090909090909091,0.4444444444444444,8
10,1.8,Equipe 3,CTDE-Comm,3,24,0.12972972972972974,0.3333333333333333,8
10,1.9,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,1.9,Equipe 2,CTDE-CAC,3,23,0.09090909090909091,0.4444444444444444,8
10,1.9,Equipe 3,CTDE-Comm,3,24,0.12972972972972974,0.3333333333333333,8
10,2.0,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,2.0,Equipe 2,CTDE-CAC,3,23,0.09090909090909091,0.4444444444444444,8
10,2.0,Equipe 3,CTDE-Comm,3,24,0.12903225806451613,0.3333333333333333,8
10,2.1,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,2.1,Equipe 2,CTDE-CAC,3,23,0.09055118110236221,0.4444444444444444,8
10,2.1,Equipe 3,CTDE-Comm,3,24,0.12834224598930483,0.3333333333333333,8
10,2.2,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,2.2,Equipe 2,CTDE-CAC,3,23,0.09019607843137255,0.4444444444444444,8
10,2.2,Equipe 3,CTDE-Comm,3,24,0.12834224598930483,0.3333333333333333,8
10,2.3,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,2.3,Equipe 2,CTDE-CAC,3,24,0.09375,0.4444444444444444,8
10,2.3,Equipe 3,CTDE-Comm,2,24,0.12834224598930483,0.3333333333333333,8
10,2.4,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,2.4,Equipe 2,CTDE-CAC,3,24,0.09375,0.4444444444444444,8
10,2.4,Equipe 3,CTDE-Comm,2,24,0.12834224598930483,0.3333333333333333,8
10,2.5,Equipe 1,CTDE-VD,3,21,0.0958904109589041,0.2222222222222222,8
10,2.5,Equipe 2,CTDE-CAC,3,24,0.09375,0.4444444444444444,8
10,2.5,Equipe 3,CTDE-Comm,2,24,0.12834224598930483,0.3333333333333333,8
10,2.6,Equipe 1,CTDE-VD,3,21,0.09545454545454546,0.2222222222222222,8
10,2.6,Equipe 2,CTDE-CAC,3,24,0.0933852140077821,0.4444444444444444,8
10,2.6,Equipe 3,CTDE-Comm,2,24,0.12834224598930483,0.3333333333333333,8
10,2.7,Equipe 1,CTDE-VD,3,21,0.09545454545454546,0.2222222222222222,8
10,2.7,Equipe 2,CTDE-CAC,3,24,0.0933852140077821,0.4444444444444444,8
10,2.7,Equipe 3,CTDE-Comm,2,24,0.1276595744680851,0.3333333333333333,8
10,2.8,Equipe 1,CTDE-VD,3,21,0.09545454545454546,0.2222222222222222,8
10,2.8,Equipe 2,CTDE-CAC,3,24,0.0933852140077821,0.4444444444444444,8
10,2.8,Equipe 3,CTDE-Comm,2,24,0.12698412698412698,0.3333333333333333,8
10,2.9,Equipe 1,CTDE-VD,3,21,0.09502262443438914,0.2222222222222222,8
10,2.9,Equipe 2,CTDE-CAC,3,24,0.0933852140077821,0.4444444444444444,8
10,2.9,Equipe 3,CTDE-Comm,2,24,0.12698412698412698,0.3333333333333333,8
10,3.0,Equipe 1,CTDE-VD,3,21,0.09502262443438914,0.2222222222222222,8
10,3.0,Equipe 2,CTDE-CAC,3,24,0.0933852140077821,0.4444444444444444,8
10,3.0,Equipe 3,CTDE-Comm,2,24,0.12698412698412698,0.3333333333333333,8
10,3.1,Equipe 1,CTDE-VD,3,21,0.09502262443438914,0.2222222222222222,8
10,3.1,Equipe 2,CTDE-CAC,3,24,0.09266409266409266,0.4444444444444444,8
10,3.1,Equipe 3,CTDE-Comm,2,24,0.12698412698412698,0.3333333333333333,8
10,3.2,Equipe 1,CTDE-VD,3,21,0.09502262443438914,0.2222222222222222,8
10,3.2,Equipe 2,CTDE-CAC,2,24,0.09266409266409266,0.4444444444444444,8
10,3.2,Equipe 3,CTDE-Comm,2,25,0.13157894736842105,0.3333333333333333,8
10,3.3,Equipe 1,CTDE-VD,3,21,0.09502262443438914,0.2222222222222222,8
10,3.3,Equipe 2,CTDE-CAC,2,24,0.09266409266409266,0.4444444444444444,8
10,3.3,Equipe 3,CTDE-Comm,2,25,0.13089005235602094,0.3333333333333333,8
10,3.4,Equipe 1,CTDE-VD,3,21,0.09502262443438914,0.2222222222222222,8
10,3.4,Equipe 2,CTDE-CAC,2,24,0.09266409266409266,0.4444444444444444,8
10,3.4,Equipe 3,CTDE-Comm,2,25,0.13089005235602094,0.3333333333333333,8
10,3.5,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,3.5,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,3.5,Equipe 3,CTDE-Comm,2,25,0.13089005235602094,0.3333333333333333,8
10,3.6,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,3.6,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,3.6,Equipe 3,CTDE-Comm,2,25,0.13089005235602094,0.3333333333333333,8
10,3.7,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,3.7,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,3.7,Equipe 3,CTDE-Comm,2,25,0.13089005235602094,0.3333333333333333,8
10,3.8,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,3.8,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,3.8,Equipe 3,CTDE-Comm,2,25,0.13089005235602094,0.3333333333333333,8
10,3.9,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,3.9,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,3.9,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.0,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.0,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,4.0,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.1,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.1,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,4.1,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.2,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.2,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,4.2,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.3,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.3,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,4.3,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.4,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.4,Equipe 2,CTDE-CAC,2,25,0.09578544061302682,0.4444444444444444,8
10,4.4,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.5,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.5,Equipe 2,CTDE-CAC,2,25,0.09578544061302682,0.4444444444444444,8
10,4.5,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.6,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.6,Equipe 2,CTDE-CAC,2,25,0.09578544061302682,0.4444444444444444,8
10,4.6,Equipe 3,CTDE-Comm,2,25,0.12886597938144329,0.3333333333333333,8
10,4.7,Equipe 1,CTDE-VD,2,21,0.09417040358744394,0.2222222222222222,8
10,4.7,Equipe 2,CTDE-CAC,2,25,0.09578544061302682,0.4444444444444444,8
10,4.7,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,4.8,Equipe 1,CTDE-VD,2,21,0.09375,0.2222222222222222,8
10,4.8,Equipe 2,CTDE-CAC,2,25,0.09578544061302682,0.4444444444444444,8
10,4.8,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,4.9,Equipe 1,CTDE-VD,2,21,0.09375,0.2222222222222222,8
10,4.9,Equipe 2,CTDE-CAC,2,25,0.09541984732824428,0.4444444444444444,8
10,4.9,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,5.0,Equipe 1,CTDE-VD,2,21,0.09375,0.2222222222222222,8
